SpecName	accGenus	accSpecies	PalmTribe	PalmSubfamily	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness
Hemithrinax compacta	Hemithrinax	compacta	Cryosophileae	Coryphoideae	0	0	1	1	0	0	15	30	canopy		1.7	1.2		0.9			0.9			small	globose	white	white	cryptic
Hemithrinax ekmaniana	Hemithrinax	ekmaniana	Cryosophileae	Coryphoideae	0	0	1	1	0	0					1.4	1.3										yellow?	yellow	conspicuous
Hemithrinax rivularis	Hemithrinax	rivularis	Cryosophileae	Coryphoideae	0	0	1	1	0	0					1.73	1.4									ovoid	white	white	cryptic
Heterospathe annectens	Heterospathe	annectens	Areceae	Arecoideae	0	0	1	1	0	0	12		canopy		1	1		1.8			1.25			small		red	red	conspicuous
Heterospathe arfakiana	Heterospathe	arfakiana	Areceae	Arecoideae	0	0	1		0	0															globose			
Heterospathe barfodii	Heterospathe	barfodii	Areceae	Arecoideae	0	0	1		0	0								1			1			small		red	red	conspicuous
Heterospathe brevicaulis	Heterospathe	brevicaulis	Areceae	Arecoideae	0	0	1	1	0	0	0.5	8	understorey	8	2	1.9	0.97	0.8			0.6			small		ripening yellow - red	"yellow; red"	conspicuous
Heterospathe cagayanensis	Heterospathe	cagayanensis	Areceae	Arecoideae	0	0	1	0	0	0	6.5	10	canopy		2.6		0.58	0.8			0.6			small		white turning orange-red	"white; orange; red"	conspicuous
Heterospathe califrons	Heterospathe	califrons	Areceae	Arecoideae	0	0	1	1	0	0	1.5	6	understorey	13	2	1.15		1.6			0.7			small		ripening yellow - red	"yellow; red"	conspicuous
Heterospathe clemensiae	Heterospathe	clemensiae	Areceae	Arecoideae	0	0	1		0	0															globose			
Heterospathe compsoclada	Heterospathe	compsoclada	Areceae	Arecoideae	0	0	1		0	0																		
Heterospathe delicatula	Heterospathe	delicatula	Areceae	Arecoideae	0	1	0	0	0	0	0		understorey													pink	pink	conspicuous
Heterospathe dransfieldii	Heterospathe	dransfieldii	Areceae	Arecoideae	0	0	1	0	0	0	4	1.5	understorey	7	1			0.7			0.3			small		young green		
Heterospathe elata	Heterospathe	elata	Areceae	Arecoideae	0	0	1	1	0	0	13	8.2	canopy	11	3	2.5		1.125	1	1.25				small	globose	green ripening red	red	conspicuous
Heterospathe elegans	Heterospathe	elegans	Areceae	Arecoideae	0	2	2	2	0	0	2.5	5	understorey	12	1.4	1.4		1.25	1	1.5	0.9	0.8	1	small	elongate	bright red or orange	"red; orange"	conspicuous
Heterospathe elmeri	Heterospathe	elmeri	Areceae	Arecoideae	0	0	1	1	0	0	8		canopy		1			1.2			0.6			small				
Heterospathe glabra	Heterospathe	glabra	Areceae	Arecoideae	0	0	1		0	0				10	1.4	1.4									ovoid			
Heterospathe glauca	Heterospathe	glauca	Areceae	Arecoideae	0	0	1	1	0	0																		
Heterospathe intermedia	Heterospathe	intermedia	Areceae	Arecoideae	0	0	1	1	0	0	7	13	canopy		2			1.1			0.7			small		red	red	conspicuous
Heterospathe kajewskii	Heterospathe	kajewskii	Areceae	Arecoideae	0	0	1		0	0		11			0.82	0.78	0.06	1.5			1.1			small	globose			
Heterospathe ledermanniana	Heterospathe	ledermanniana	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Heterospathe lepidota	Heterospathe	lepidota	Areceae	Arecoideae	0	0	1	1	0	0	4	5	understorey		1.8			1.6	1.5	1.7	1			small		red	red	conspicuous
Heterospathe longipes	Heterospathe	longipes	Areceae	Arecoideae	0	0	1		0	0	3.6		understorey					2.5			2.5			small	ovoid	green?		
Heterospathe macgregorii	Heterospathe	macgregorii	Areceae	Arecoideae	0	0	1		0	0															globose	red	red	conspicuous
Heterospathe minor	Heterospathe	minor	Areceae	Arecoideae	0	0	1		0	0		5			2			1.05	1	1.1	0.6	0.55	0.6	small		orange red	"orange; red"	conspicuous
Heterospathe muelleriana	Heterospathe	muelleriana	Areceae	Arecoideae	0	0	1	1	0	0	9.5	10	canopy	7	3.5	2.8	0.75	0.5			0.5			small	globose			
Heterospathe negrosensis	Heterospathe	negrosensis	Areceae	Arecoideae	0	0	1	1	0	0	3	9	understorey		2			1.05	1	1.1	0.6			small	globose	green to yellow and red	"green; yellow; red"	conspicuous
Heterospathe obriensis	Heterospathe	obriensis	Areceae	Arecoideae	0	0	1		0	0								3.25	2.9	3.5	2.5	2.2	2.8	small	ovoid			
Heterospathe parviflora	Heterospathe	parviflora	Areceae	Arecoideae	0	0	1	1	0	0		15			2.5			0.95			0.95	0.9	1	small	ovoid	red	red	conspicuous
Heterospathe philippinensis	Heterospathe	philippinensis	Areceae	Arecoideae	0	0	1	2	0	0	5	3.5	understorey		1.1		0.5	1			0.7			small	elongate	bright yellow turning red	"yellow; red"	conspicuous
Heterospathe phillipsii	Heterospathe	phillipsii	Areceae	Arecoideae	0	0	1	1	0	0	15	20	canopy	12	5	4.5	0.55	1.3			0.7			small	ovoid	red	red	conspicuous
Heterospathe pilosa	Heterospathe	pilosa	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Heterospathe porcata	Heterospathe	porcata	Areceae	Arecoideae	0	0	1		0	0								2			0.9			small		red	red	conspicuous
Heterospathe pulchra	Heterospathe	pulchra	Areceae	Arecoideae	0	0	1	1	0	0				10	2.5			0.9			0.8			small	ovoid	red	red	conspicuous
Heterospathe pullenii	Heterospathe	pullenii	Areceae	Arecoideae	0	0	1	1	0	0	6	4	canopy			1.05	0.45	1.7	1.6	1.8	0.9	0.7	1.1	small	globose			
Heterospathe ramulosa	Heterospathe	ramulosa	Areceae	Arecoideae	0	0	1		0	0		0.6																
Heterospathe salomonensis	Heterospathe	salomonensis	Areceae	Arecoideae	0	0	1		0	0					2			0.6			0.6			small				
Heterospathe scitula	Heterospathe	scitula	Areceae	Arecoideae	0	0	1	2	0	0	3	1.5	understorey	8	0.54			0.8			0.6			small		"white; ripening orange-tinged then glossy red"	red	conspicuous
Heterospathe sensisi	Heterospathe	sensisi	Areceae	Arecoideae	0	0	1		0	0								1.225	1.2	1.25	0.55	0.5	0.55	small	ovoid			
Heterospathe sibuyanensis	Heterospathe	sibuyanensis	Areceae	Arecoideae	0	0	1	1	0	0	10	12	canopy		2			1			0.7			small	globose	red	red	conspicuous
Heterospathe sphaerocarpa	Heterospathe	sphaerocarpa	Areceae	Arecoideae	0	1	0		0	0	0		understorey	6	2			0.8			0.75			small				
Heterospathe trispatha	Heterospathe	trispatha	Areceae	Arecoideae	0	0	1	1	0	0	3	5	understorey	8	0.7			1.2			0.8			small	ovoid	ripening yellow - red	"yellow; red"	conspicuous
Heterospathe uniformis	Heterospathe	uniformis	Areceae	Arecoideae	0	0	1		0	0								2.2			1			small		green to orange to red	"green; orange; red"	conspicuous
Heterospathe woodfordiana	Heterospathe	woodfordiana	Areceae	Arecoideae	0	0	1	1	0	0	4		understorey					1.3			1			small				
Howea belmoreana	Howea	belmoreana	Areceae	Arecoideae	0	0	1	1	0	0	12	15	canopy	18	5	4		3.5	3	4	2.5	2	3	small		brownish-red	red	conspicuous
Howea forsteriana	Howea	forsteriana	Areceae	Arecoideae	0	0	1	1	0	0	25	15	canopy	18	5	4		4	3	5	2.5	2	3	large	globose	bright or dull orange to red at maturity	red	conspicuous
Hydriastele affinis	Hydriastele	affinis	Areceae	Arecoideae	0	0	1	0	0	0															globose			
Hydriastele aprica	Hydriastele	aprica	Areceae	Arecoideae	0	0	1	1	0	0	5		understorey	7	0.23	0.62	0.18	0.8			0.7			small	globose	red black	black	cryptic
Hydriastele beccariana	Hydriastele	beccariana	Areceae	Arecoideae	0	0	1	2	0	0	9	8	canopy	8	1.3	0.95	0.4	0.9			0.6			small		red	red	conspicuous
Hydriastele beguinii	Hydriastele	beguinii	Areceae	Arecoideae	0	0	1	1	0	0	15	3	canopy		2		0.92	1.5			1.1			small	globose	red	red	conspicuous
Hydriastele biakensis	Hydriastele	biakensis	Areceae	Arecoideae	0	0	1		0	0								1.075	0.95	1.2	0.55	0.5	0.6	small		red	red	conspicuous
Hydriastele boumae	Hydriastele	boumae	Areceae	Arecoideae	0	0	1	1	0	0	32	28	canopy		3	2.65	0.4	1.2	1	1.4	0.7	0.6	0.8	small		yellowish white	white	cryptic
Hydriastele brassii	Hydriastele	brassii	Areceae	Arecoideae	0	0	1	1	0	0	15	10	canopy	11	1.85		0.45	0.975	0.65	1.3	0.65	0.4	0.9	small	ovoid	bright red	red	conspicuous
Hydriastele cariosa	Hydriastele	cariosa	Areceae	Arecoideae	0	0	1		0	0															globose			
Hydriastele carrii	Hydriastele	carrii	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele chaunostachys	Hydriastele	chaunostachys	Areceae	Arecoideae	0	0	1	1	0	0	30	35	canopy	15	3.85		0.65	1.5			1			small		red	red	conspicuous
Hydriastele costata	Hydriastele	costata	Areceae	Arecoideae	0	0	1	1	0	0	35	40	canopy	15	4.5	4.5	0.55	0.85	0.7	1	0.475	0.45	0.5	small		"blue-grey to deep maroon; with broad cream to pink longitudil markings; finally black"	"blue; grey; brown; black"	cryptic
Hydriastele cyclopensis	Hydriastele	cyclopensis	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Hydriastele cylindrocarpa	Hydriastele	cylindrocarpa	Areceae	Arecoideae	0	0	1	1	0	0	27	15	canopy	18	2.75	2.5	0.33	1.25	1.2	1.3	0.55	0.5	0.6	small	ovoid	yellowish	yellow	cryptic
Hydriastele dransfieldii	Hydriastele	dransfieldii	Areceae	Arecoideae	0	0	1	1	0	0	10	12	canopy	10	3	2.35	0.28	1.8			1.2			small	globose	ripening through yellow to red when mature	"yellow; red"	conspicuous
Hydriastele flabellata	Hydriastele	flabellata	Areceae	Arecoideae	0	0	1	0	0	0	5	2	understorey	8	0.4	0.3	0.3	1.35	1.2	1.5	0.65	0.5	0.8	small	ellipsoid	brightred	red	conspicuous
Hydriastele geelvinkiana	Hydriastele	geelvinkiana	Areceae	Arecoideae	0	0	1		0	0															globose			
Hydriastele gibbsiana	Hydriastele	gibbsiana	Areceae	Arecoideae	0	0	1		0	0								0.85			0.7			small	ovoid	red	red	conspicuous
Hydriastele gracilis	Hydriastele	gracilis	Areceae	Arecoideae	0	0	1	0	0	0	1.5	1	understorey	6	0.25		0.12								ovoid			
Hydriastele hombronii	Hydriastele	hombronii	Areceae	Arecoideae	0	0	1	1	0	0	20	28	canopy	20	1.8	1.8	0.33	1.55	1.4	1.7	0.625	0.6	0.65	small	ovoid	dull red	red	conspicuous
Hydriastele kasesa	Hydriastele	kasesa	Areceae	Arecoideae	0	0	1	2	0	0	6	3.8	canopy	12	0.3	0.9	0.4	1.2			0.9			small	ovoid	bright red	red	conspicuous
Hydriastele kjellbergii	Hydriastele	kjellbergii	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele ledermanniana	Hydriastele	ledermanniana	Areceae	Arecoideae	0	0	1	1	0	0																		
Hydriastele lepidota	Hydriastele	lepidota	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele longispatha	Hydriastele	longispatha	Areceae	Arecoideae	0	0	1	1	0	0	24	25	canopy	19	2.5	2.3	0.22	1	0.7	1.3	0.65	0.4	0.9	small	globose	bright red	red	conspicuous
Hydriastele lurida	Hydriastele	lurida	Areceae	Arecoideae	0	0	1		0	0															globose			
Hydriastele macrospadix	Hydriastele	macrospadix	Areceae	Arecoideae	0	0	1	1	0	0	40	25	canopy	25	1.95	1.45	0.55	1.4	1.2	1.6	0.8			small	globose	bright crimson	red	conspicuous
Hydriastele manusii	Hydriastele	manusii	Areceae	Arecoideae	0	0	1	1	0	0	18	10	canopy	9	2			1.15			0.5			small	ovoid			
Hydriastele mayrii	Hydriastele	mayrii	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Hydriastele micrantha	Hydriastele	micrantha	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele microcarpa	Hydriastele	microcarpa	Areceae	Arecoideae	0	0	1	2	0	0	8	15	canopy	17	2.2	1.9	0.33	1			0.3			small	ovoid	whitish	white	cryptic
Hydriastele microspadix	Hydriastele	microspadix	Areceae	Arecoideae	0	0	1	1	0	0	16.2	6.5	canopy	10	2.3	2.3	0.69	0.9			0.6			small	globose	dark red	red	conspicuous
Hydriastele moluccana	Hydriastele	moluccana	Areceae	Arecoideae	0	0	1	1	0	0	55	30	canopy		3.2										globose			
Hydriastele montana	Hydriastele	montana	Areceae	Arecoideae	0	0	1		0	0	1.5	0.8	understorey	5	0.15	0.38	0.08	1.5	1.2	1.9	0.4			small	fusiform	red	red	conspicuous
Hydriastele nannostachys	Hydriastele	nannostachys	Areceae	Arecoideae	0	0	1		0	0	3	5	understorey															
Hydriastele oxypetala	Hydriastele	oxypetala	Areceae	Arecoideae	0	0	1	1	0	0	4.6		understorey		0.76		0.33	0.8			0.4			small	elongate			
Hydriastele palauensis	Hydriastele	palauensis	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele pinangoides	Hydriastele	pinangoides	Areceae	Arecoideae	0	0	1	2	0	0	15	7.5	canopy	10	1.3	0.9	0.54	1.3	1	1.6	0.6	0.4	0.8	small	ellipsoid	"pink; red"	"pink; red"	conspicuous
Hydriastele pleurocarpa	Hydriastele	pleurocarpa	Areceae	Arecoideae	0	0	1		0	0																yellow to orange to red	"yellow; orange; red"	conspicuous
Hydriastele procera	Hydriastele	procera	Areceae	Arecoideae	0	0	1		0	0															ovoid			
Hydriastele ramsayi	Hydriastele	ramsayi	Areceae	Arecoideae	0	0	1	1	0	0	30	35	canopy	12	2.5	1.7	0.92	1.5			0.8			small	ovoid	red	red	conspicuous
Hydriastele rheophytica	Hydriastele	rheophytica	Areceae	Arecoideae	0	0	1	0	0	0	6	2.5	canopy	12	1.2	0.8	0.3	0.65	0.6	0.7				small	globose	red	red	conspicuous
Hydriastele rhopalocarpa	Hydriastele	rhopalocarpa	Areceae	Arecoideae	0	0	1	0	0	0	3	2	understorey	6	0.6		0.33	1.3			0.7			small	ovoid			
Hydriastele rostrata	Hydriastele	rostrata	Areceae	Arecoideae	0	0	1	0	0	0	10	7.7	canopy	7	1.68	1.42	0.29	0.9			0.8			small	ovoid			
Hydriastele sarasinorum	Hydriastele	sarasinorum	Areceae	Arecoideae	0	0	1		0	0																		
Hydriastele selebica	Hydriastele	selebica	Areceae	Arecoideae	0	0	1	2	0	0					1.5			0.8			0.4			small	ovoid			
Hydriastele valida	Hydriastele	valida	Areceae	Arecoideae	0	0	1	1	0	0	20.5	20	canopy	22	2.45	2.45	0.45	1.1			0.7			small	ovoid	dark red to purple	"red; purple"	conspicuous
Hydriastele variabilis	Hydriastele	variabilis	Areceae	Arecoideae	0	0	1	0	0	0	8	4	canopy	7	1.4	1.1	0.3	1.1	1	1.2	0.7	0.63	0.78	small	globose	red	red	conspicuous
Hydriastele vitiensis	Hydriastele	vitiensis	Areceae	Arecoideae	0	0	1	1	0	0	25	30	canopy	20	2.5		0.81	1						small	globose			
Hydriastele wendlandiana	Hydriastele	wendlandiana	Areceae	Arecoideae	0	0	1	2	0	0	25	12	canopy	10	2.5	1.9	0.8	0.9	0.7	1.1	0.65	0.5	0.8	small	globose	bright red	red	conspicuous
Hyophorbe amaricaulis	Hyophorbe	amaricaulis	Chamaedoreeae	Arecoideae	0	0	1	1	0	0	6	14	canopy	6	1.4			3.8			3.4	3.3	3.5	small	globose	brown	brown	cryptic
Hyophorbe indica	Hyophorbe	indica	Chamaedoreeae	Arecoideae	0	0	1	1	0	0	8	13	canopy	6	3	3	0.61	2.3	1.8	2.8	1.05	1	1.1	small	ovoid	green to yellow to red	"green; yellow; red"	conspicuous
Hyophorbe lagenicaulis	Hyophorbe	lagenicaulis	Chamaedoreeae	Arecoideae	0	0	1	1	0	0	7	60	canopy	8	3.1	3	0.12	3.15	2.5	3.8				small	globose	green to black	"green; black"	cryptic
Hyophorbe vaughanii	Hyophorbe	vaughanii	Chamaedoreeae	Arecoideae	0	0	1	1	0	0	10	12	canopy	5				4			3			large	globose	brown	brown	cryptic
Hyophorbe verschaffeltii	Hyophorbe	verschaffeltii	Chamaedoreeae	Arecoideae	0	0	1	1	0	0	12	45	canopy	10	3.1	3	0.12	2			0.9			small	ovoid			
Hyospathe elegans	Hyospathe	elegans	Euterpeae	Arecoideae	0	0	1	2	0	0	8	8	canopy	11	2	1.1		1.15	1	1.5	0.75	0.3	1.2	small	globose	black	black	cryptic
Hyospathe frontinensis	Hyospathe	frontinensis	Euterpeae	Arecoideae	0	0	1	0	0	0	2.5	0.9	understorey	8	0.26	0.26		0.9	0.8	1	0.61	0.59	0.63	small				
Hyospathe macrorhachis	Hyospathe	macrorhachis	Euterpeae	Arecoideae	0	0	1	2	0	0	2	3	understorey	10	1.2	0.7	0.43	0.93	0.66	1.2	0.65	0.4	0.9	small		black	black	cryptic
Hyospathe peruviana	Hyospathe	peruviana	Euterpeae	Arecoideae	0	0	1		0	0								0.875	0.8	0.95	0.705	0.68	0.73	small				
Hyospathe wendlandiana	Hyospathe	wendlandiana	Euterpeae	Arecoideae	0	0	1		0	0								1.125	0.98	1.27	0.6	0.55	0.65	small				
Hyphaene compressa	Hyphaene	compressa	Borasseae	Coryphoideae	0	0	1	2	0	1	20	40	canopy	15	1.5	2.5	1.25	8.5	7	10	6.5	5	8	large		"orangey-brown to deep chestnut; rarely pale golden brown"	brown	cryptic
Hyphaene coriacea	Hyphaene	coriacea	Borasseae	Coryphoideae	0	0	1	2	0	1	6	30	canopy	20	1.17	1.8	0.75	4.5	3	6	3.25	2.5	4	large	elongate	brown	brown	cryptic
Hyphaene dichotoma	Hyphaene	dichotoma	Borasseae	Coryphoideae	0	0	1	2	0	1	20	30	canopy					7			6			large		brownish	brown	cryptic
Hyphaene guineensis	Hyphaene	guineensis	Borasseae	Coryphoideae	0	0	1	1	0	1	20		canopy		3.5		1.55	5.75	5	6.5	6.5	6	7	large	globose	bright orange color to red-brown	"orange; brown"	conspicuous
Hyphaene macrosperma	Hyphaene	macrosperma	Borasseae	Coryphoideae	0	0	1		0	1								7			6			large				
Hyphaene petersiana	Hyphaene	petersiana	Borasseae	Coryphoideae	0	0	1	1	0	1	20	35	canopy	25	0.75			6.5	5	8	5.5	5	7	large	globose	red-brown to chestnut	brown	cryptic
Hyphaene reptans	Hyphaene	reptans	Borasseae	Coryphoideae	0	1	0	2	0	1	0		understorey		1			5	4	6	3			large	globose	reddish	red	conspicuous
Hyphaene thebaica	Hyphaene	thebaica	Borasseae	Coryphoideae	0	0	1	2	0	1	25	30	canopy	35	2		0.45	6			5			large	globose	"shiny brown; orange brown; becomming darker brown with age"	brown	cryptic
Iguanura ambigua	Iguanura	ambigua	Areceae	Arecoideae	0	0	1		0	0	2.6		understorey		1.01			0.85			0.6			small	globose	white to red-orange and black-brown	"white; red; orange; black; brown"	conspicuous
Iguanura asli	Iguanura	asli	Areceae	Arecoideae	0	0	1	0	0	0	2.5		understorey		1.01			0.6	0.4					small	ovoid	pink	pink	conspicuous
Iguanura belumensis	Iguanura	belumensis	Areceae	Arecoideae	0	0	1	1	0	0	4	1.5	understorey		1.01										ovoid	white to pink to red	"white; pink; red"	conspicuous
Iguanura bicornis	Iguanura	bicornis	Areceae	Arecoideae	0	0	1	0	0	0	3	2.2	understorey	8	0.8	0.8		2			1.8			small	globose	reddish	red	conspicuous
Iguanura borneensis	Iguanura	borneensis	Areceae	Arecoideae	0	0	1	2	0	0	1.5	1.5	understorey		0.38	0.3	0.1	1			0.7			small	globose	red	red	conspicuous
Iguanura cemurung	Iguanura	cemurung	Areceae	Arecoideae	0	0	1		0	0					1.01										globose			
Iguanura chaiana	Iguanura	chaiana	Areceae	Arecoideae	0	0	1		0	0	3	2	understorey		0.75	0.75									globose			
Iguanura corniculata	Iguanura	corniculata	Areceae	Arecoideae	0	0	1		0	0	1.3		understorey		1.01										ovoid			
Iguanura curvata	Iguanura	curvata	Areceae	Arecoideae	0	0	1	0	0	0	5	1.5	understorey		2	2		1.5			0.55	0.5	0.6	small	ovoid	green to white to red	"green; white; red"	conspicuous
Iguanura diffusa	Iguanura	diffusa	Areceae	Arecoideae	0	0	1		0	0					1.01										ovoid			
Iguanura divergens	Iguanura	divergens	Areceae	Arecoideae	0	0	1	0	0	0	3	3.5	understorey	7	1.3	1.3										green to red	"green; red"	conspicuous
Iguanura elegans	Iguanura	elegans	Areceae	Arecoideae	0	0	1	2	0	0	2	2	understorey		1.2	0.95	0.12	0.85			0.6			small	ovoid	red	red	conspicuous
Iguanura geonomiformis	Iguanura	geonomiformis	Areceae	Arecoideae	0	0	1	2	0	0	4	2.5	understorey	8	1	1	0.22	2			1			small	globose	maturing white to red	"white; red"	conspicuous
Iguanura humilis	Iguanura	humilis	Areceae	Arecoideae	0	0	1		0	0	1		understorey	7	1.01			1			0.6			small	ovoid	green?		
Iguanura kelantanensis	Iguanura	kelantanensis	Areceae	Arecoideae	0	1	0	2	0	0	0		understorey		1.01											white to red	"white; red"	conspicuous
Iguanura leucocarpa	Iguanura	leucocarpa	Areceae	Arecoideae	0	0	1		0	0		0.5			0.8										globose			
Iguanura macrostachya	Iguanura	macrostachya	Areceae	Arecoideae	0	0	1	2	0	0	2	2	understorey		1		0.45	1.05			0.8			small	ovoid	pink to red	"pink; red"	conspicuous
Iguanura melinauensis	Iguanura	melinauensis	Areceae	Arecoideae	0	0	1	0	0	0	3.5	1	understorey		0.77	0.65	0.14	1			0.7			small		white to red	"white; red"	conspicuous
Iguanura minor	Iguanura	minor	Areceae	Arecoideae	0	0	1	1	0	0	4	1	understorey		0.55	0.55	0.17	0.85			0.7			small	globose			
Iguanura mirabilis	Iguanura	mirabilis	Areceae	Arecoideae	0	0	1	0	0	0	3	2	understorey	10	0.85	0.85									globose	"white; ripenning cherry-red"	red	conspicuous
Iguanura myochodoides	Iguanura	myochodoides	Areceae	Arecoideae	0	0	1	0	0	0	2	1	understorey		0.63	0.5	0.15	1.5			0.7			small		white to red	"white; red"	conspicuous
Iguanura palmuncula	Iguanura	palmuncula	Areceae	Arecoideae	0	0	1	2	0	0	3	1	understorey	10	1.5	1.5	0.28	1.15			0.8			small	ovoid	white to red	"white; red"	conspicuous
Iguanura parvula	Iguanura	parvula	Areceae	Arecoideae	0	0	1		0	0					1.01										globose			
Iguanura perdana	Iguanura	perdana	Areceae	Arecoideae	0	0	1	1	0	0	4.5	1.8	understorey		1	1									ovoid	yellow to pink	"yellow; pink"	conspicuous
Iguanura piahensis	Iguanura	piahensis	Areceae	Arecoideae	0	0	1	0	0	0	2		understorey		1.01			0.6			0.6			small		"cream to yellow; ripening red"	red	conspicuous
Iguanura polymorpha	Iguanura	polymorpha	Areceae	Arecoideae	0	0	1	2	0	0	4	2	understorey		1.4	1.4	0.92	2			0.8			small	ovoid	red	red	conspicuous
Iguanura prolifera	Iguanura	prolifera	Areceae	Arecoideae	0	0	1	0	0	0		1.5			0.7	0.7		0.7			0.6			small	globose	bright red	red	conspicuous
Iguanura remotiflora	Iguanura	remotiflora	Areceae	Arecoideae	0	0	1		0	0	1.5		understorey		1.01										globose			
Iguanura sanderiana	Iguanura	sanderiana	Areceae	Arecoideae	0	0	1		0	0	1.5	3.5	understorey		1.4	1.4	0.4	1.3	1.1	1.5	0.7			small	globose	creamy red	red	conspicuous
Iguanura speciosa	Iguanura	speciosa	Areceae	Arecoideae	0	0	1	2	0	0	4	2	understorey		1.4	1.4	0.92	2			0.8			small	ovoid	red	red	conspicuous
Iguanura tenuis	Iguanura	tenuis	Areceae	Arecoideae	0	0	1	2	0	0	1.5	2	understorey	7	0.5	0.5		1.15	1.1	1.2	0.6			small	elongate	"pinkish; white with blush when nearly ripe"	white	cryptic
Iguanura thalangensis	Iguanura	thalangensis	Areceae	Arecoideae	0	0	1	1	0	0	2	1.5	understorey		0.6	0.6		1.5			1			small	globose	pinkish	pink	conspicuous
Iguanura wallichiana	Iguanura	wallichiana	Areceae	Arecoideae	0	0	1	2	0	0	4	3.5	understorey	10	2	2		2.4	1.8	3	1.4	0.8	2	small		pink or red	"pink; red"	conspicuous
Iriartea deltoidea	Iriartea	deltoidea	Irarteeae	Arecoideae	0	0	1	1	0	0	30	70	canopy	7	5.55	4.7	0.97	2.35	2	2.7	2.5	2	3	small	globose	"greenish yellow; dull bluish black"	"yellow; black"	conspicuous
Iriartella setigera	Iriartella	setigera	Irarteeae	Arecoideae	0	0	1	2	0	0	12	5	canopy	8	1.36	0.96	0.45	1.55	1.4	1.7	0.85	0.7	1	small		"scarlet; orange or brown"	"red; orange; brown"	conspicuous
Iriartella stenocarpa	Iriartella	stenocarpa	Irarteeae	Arecoideae	0	0	1	0	0	0	3	2	understorey	5	1.22	0.8	0.47	1.2	0.9	1.5	0.7	0.5	0.5	small		orange	orange	conspicuous
Itaya amicorum	Itaya	amicorum	Cryosophileae	Coryphoideae	0	0	1	1	0	0	4	10	understorey	25	1.4	2.1	2.4	2.25	2	2.5	1.75	1.5	2	small	globose	yellowish green	green	cryptic
Johannesteijsmannia altifrons	Johannesteijsmannia	altifrons	Trachycarpeae	Coryphoideae	0	1	0	2	0	1	0	15	understorey	30	4		0.95	5			4.5	4	5	large	globose	brownish	brown	cryptic
Johannesteijsmannia lanceolata	Johannesteijsmannia	lanceolata	Trachycarpeae	Coryphoideae	0	1	0	2	0	1	0	15	understorey		3.5	2.4	1.15	3.4			3.4			small	ovoid	"reddish brown; corky warts"	brown	cryptic
Johannesteijsmannia magnifica	Johannesteijsmannia	magnifica	Trachycarpeae	Coryphoideae	0	1	0	2	0	1	0	15	understorey		2		1	3.9			3.5			small	ovoid	"reddish brown; corky warts"	brown	cryptic
Johannesteijsmannia perakensis	Johannesteijsmannia	perakensis	Trachycarpeae	Coryphoideae	0	0	1	1	0	1	4	15	understorey													"reddish brown; corky warts"	brown	cryptic
Juania australis	Juania	australis	Ceroxyleae	Ceroxyloideae	0	0	1	1	0	0	15	26	canopy	9	5			1.65			1.65	1.5	1.8	small	ovoid	orange-red	"orange; red"	conspicuous
Jubaea chilensis	Jubaea	chilensis	Cocoseae	Arecoideae	0	0	1	1	0	0	25	130	canopy	50	5.5			3.75	3.5	4	3.5	3	4	small	ovoid	brownish	brown	cryptic
Jubaeopsis caffra	Jubaeopsis	caffra	Cocoseae	Arecoideae	0	0	1	0	0	0	6.5	40	canopy		3.75			3	2	4				small	ovoid	orange	orange	conspicuous
Kentiopsis magnifica	Kentiopsis	magnifica	Areceae	Arecoideae	0	0	1	1	0	0	25	25	canopy	9	2.45	2.25	0.22	2.2			1			small		red	red	conspicuous
Kentiopsis oliviformis	Kentiopsis	oliviformis	Areceae	Arecoideae	0	0	1	1	0	0	30	28	canopy	10	3.1	3	0.12	1.7	1.4	2	0.85	0.8	0.9	small	globose	red	red	conspicuous
Kentiopsis piersoniorum	Kentiopsis	piersoniorum	Areceae	Arecoideae	0	0	1	1	0	0	15	25	canopy	12	2.5	2.3	0.22	2	1.7	2.3	0.95	0.9	1	small		purplish	purple	cryptic
Kentiopsis pyriformis	Kentiopsis	pyriformis	Areceae	Arecoideae	0	0	1	1	0	0	18	22	canopy	12	3.45	3	0.5	1.7			0.7			small	globose	purplish-pink	pink	conspicuous
Kerriodoxa elegans	Kerriodoxa	elegans	Chuniophoeniceae	Coryphoideae	0	2	2	1	0	0	7	20	canopy	35	1.27	1.3	0.92	4	3	5	4.5	4	5	large	ovoid	"yellowish brown; orangish-yellow"	"brown; orange; yellow"	conspicuous
